"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7438","Verify login with invalid username and valid password","","2026-08-19","passed","2026-08-19","","Login.spec.js","",""
"","12258","Verify login with valid credentials and logout","","2026-08-19","passed","2026-08-19","","Login.spec.js","",""
"","37090","@cart Select a product Add to Cart Click ok on the popup","","2026-08-19","passed","2026-08-19","","Cart.spec.js","",""
"","16086","Enter the username and password and click signup","","2026-08-19","passed","2026-08-19","","SignUp.spec.js","",""
"","6906","Verify login with valid username and invalid password","","2026-08-19","passed","2026-08-19","","Login.spec.js","",""
"","43176","@cart Select a product from phone Add to Cart Click ok on the popup Add details and Purchase","","2026-08-19","passed","2026-08-19","","PurchaseProduct.spec.js","",""
"","7578","Enter the username and password and click close","","2026-08-19","passed","2026-08-19","","SignUp.spec.js","",""
"","9066","Verify login with invalid username and invalid password","","2026-08-19","passed","2026-08-19","","Login.spec.js","",""
"","35644","@cart Select a product from monitor Add to Cart Click ok on the popup Add details and Purchase","","2026-08-19","passed","2026-08-19","","PurchaseProduct.spec.js","",""
"","17875","Verify login with valid credentials","","2026-08-19","passed","2026-08-19","","Login.spec.js","",""
